feature,perm_drop_R2
Temp,0.6635256945784503
HR,0.08600405319547114
FC,0.083118662690945
VM,0.06319629472230512
RT,0.05980041355944317
O,0.03590116871518099
H,0.02756089629029488
C,0.022952753651866463
Ash,0.02250280584975082
N,0.019504870572803014
